title,description,comments
"EU, &#39;AI 규제 법안&#39;에 세계 최초로 합의 / SBS 8뉴스","유럽연합(EU)이 세계 최초로 인공지능, 즉 AI 기술 규제 법안에 합의했습니다. 타결안에는 정치·종교적 신념과 성적 지향, 인종과 같은 ...",AI시대 무섭다… | Ai 는 무조건 규제해야함 | What does the EU have to do with your little Korea? | 기술이 좋아지는 만큼 언제나 초기에는 악용되는 일이 많기에 반드시 규제는 필요함 | 유럽은 위선떠느라 알아서 산업 망해주네 ㅇㅇ
"&quot;챗GPT, 이 법안 어때?&quot;…국회에도 부는 &#39;AI 바람&#39; 괜찮을까 / JTBC 뉴스룸","대화형 인공지능 '챗GPT' 열풍이 여의도 국회에도 불고 있습니다. 여야 입장이 갈리는 법안에 대해 어떻게 생각하는지 묻는가 하면, ...",찬성~~ | 음... 아직까지는...<br>Chat gpt야 이거 어때? 이러면 chat gpt가<br><br>이건 이렇습니다. 라고 하는것을 검색엔진보다는 좀 더 동료스럽게 도움을 주긴하지만 최종결정은 의원님들께서 하시니까 아직까지는 괜찮을것 같아요.<br><br>음... 키오스크나 고속도로 하이패스처럼 직원들이 할일을 아예 대신한다라는 논리보다는 의원님들이 정책과 법안을 만들고 <br>입법활동을 하시는데 좀 더 구체화 된 자료를<br>빠른시간안에 의원님들에게 전달이 되니까 <br><br>더 국민들을 위해서 더 많은일을 해주실수 있지 않나 전 그렇게 생각했어요~ | 쥴리 꼬붕들만 판치는  법조계 판에  차라리  인공지능이 있는게 낫지. <br>밥값만 축내면서   법으로 장난질 치는  폐급 말종들은  죄다 속아 버리는 게  대한민국의 미래를 위해서도 <br>좋은 일임. <br>국회의원들도  매월  발의 된 법안들  5개씩 절대값으로 해결 못하면  월급 주지 말아야 함. <br>처리 조차 안되고 계류중인 법안이 수천개는 될텐데   저딴  노망자들  월급주려고 내는 세금이 <br>ㅈㄹ 아깝다. | 국회의원 다 짜르고 chat GPT가 법 재정하는게 더 나을듯 | 판사 검사 다. 쓸데. 없다.  앞으로 GPT한태 물어봐
법조계 침투하는 AI…‘변호사법’ 위반 논란도 [9시 뉴스] / KBS  2023.06.18.,최근 법조계에도 인공지능 서비스가 도입되기 시작했습니다. 아직 초기 단계지만 AI가 법 조항과 판례 등을 학습하고 도움을 주는데요.,적극 권장하자. | 위법이 아니라 빅데이터로 팩트만 판결내리는데<br>사법부는 돈으로 주관적인 판단내리더라 | 위헌은개뿔<br>당장도입해라 | 근데 변호를 해주는게 아니자너...? | 당연히 필요하지. 기분따라 입맛따라 판결을 내리는 개판사들은 이제 필요없다.
EU &#39;AI 규제&#39; 마지막 관문만 남았다...美 &#39;AI 규제&#39; 법안 발의 / YTN,[앵커] 세계적으로 인공지능 AI 열풍이 불고 있지만 부작용을 걱정하는 목소리도 커지면서 이를 규제하기 위한 국제사회의 움직임이 ...,"국가나 정부나 공권력의 AI를 규제않으면 밑빠져 소용없어 서구는 중국의 디지털전체주의비판자격없음.<br>서구여론이 나서 AICCTV등 AI방범을 CCTV녹음불법처럼 안다스리묀 중국여론과 똑같을 것. | 저게 도대체 어떤 부작용을 주길래 저럴까. 스스로 퇴보를 답습하는건 기독교믿는 백인들의 종족적 특성. | &lt;챗지피티가 말했다&gt; 참고해 볼만한 인문학 책. <br>우리의 삶과 얼마나 밀접한지 알게 된다는...<br>인문학적 논의와 토론이 절대적으로 시작되야<br>우리도 토론하고 법안 만들고 | 그래서 ai기업들이 호구 한국 빙문해서 지유롭게 개발하려 오나봄 ㅡㅡㅋㅋ 우린 또 호구 잡히겠네 | ★AI를 막고 제재할 방법을 찾는 근본적인 이유는?~ 인류의 정신과 마음이 병들어 있기 때문이다. 왜?~ 인간들이 무슨 짓을 할지 모르기 때문!... AI를 제재할 방법을 찾아서 법안으로 만들 생각을 하지 말고~ 인간들의 정신과 마음을 건강하게 만들 방안을 연구해서 법안을 만들어야 할 것입니다. 지구를 계속 병들게 만들고, 화성에 가서 살 생각만 하고 있는 인간들!<br>왜? 이러는 걸까요?... .  .  .<br>모든 인간들이 올바른 생각과 마음을 가지고 진정 사람다운 사람으로 살아갈수 있게끔 가르쳐서 길러내는 진정한 교육만이 이 세상의 모든 문제들을 풀어나갈수 있는 열쇠입니다<br> ★초야의 안내자 다행철이★"
안철수의 AI 법안!,shorts #AI #법 출처 : 최경영의 최강시사 230809 방송 링크 : https://youtu.be/BJAffiH4HQ8.,이런 법안을 내는 정치인이 안철수님 말고 누가 있겠냐구 ㅠㅠ | ai 법안에 대해  국회에서 이런 일을 할분은 안철수의원 뿐이다. 안철수의원님 든든합니다. | 왜 이런자를 대통령으로 못 만드는거야 이건국민이나 나라가 퇴보하는것이다 윤 도리깡땜에 5년을 낭비하다니 | 베스트  안철수 .. 이런  사람을  안뽑고 .. 재명이  석렬이지지자들  니들이  3류정치  주역이다 | 치고 입니다
"EU, 세계 최초로 AI 규제법 합의…어기면 벌금 ‘500억’ / KBS  2023.12.09.","유럽연합이 세계 최초로 인공지능, AI를 규제하는 법안에 합의했습니다. 세부 조항을 다듬고 실제 실행하기까지는 시간이 걸릴 전망 ...","과연 이 규제가 AI 발전에 악영향일지 긍정적인 영향일지......<br>이러한 규제가 있다고 해도 과연 AI의 발전을 인간이 규제하는게 가능할지...... | 댓글들 쓰기전에 저게 무슨 법인지 조금이라도 찾아보지도 않고 그냥 댓글들 쓰시나요.. 뉴스도 좀 사람들 수준에 맞춰서 설명을 해줘야지, 그냥 인공지능 법이라고 말하면 사람들은 로봇을 생각하지 ㅋㅋ 인공지능은 로봇이 아니라요, 여기 유튜브의 추천 알고리즘같은 알고리즘을 말하는거에요.. 지금 우리나라만 봐도 정치적으로 성별로 나뉘어지는 것들도 유튜브의 영향이 크다고 생각하는데, GDPR이 도입되고서도 한~~~참 있다가 정보보안법을 도입해놓고도, 데이터 유출에 대해 심각하게 보지 않는 나라인데, 좀 인식이 정착되려면 또 10년 20년 걸리겠죠 ㅎㅎ..  뭐 이미 문제들 해결하기에는 한참 늦은 것 같고, 유튜브만큼 정치인들이 개돼지들 가지고 놀기 쉬운 곳이 없으니 ㅋㅋ 개인적으로 굉장히 중요한 법이라고 생각함. 유럽에서 빅데이터 공부하는 학생 지나감. | 인간 형상을 하는 AI 를 규제하는 법안은 왜 없는가? 사람을 속이고AI로봇이 사람인냥 행동할수있는 시대인데. 어기는 국가가 있으면 해당 국가GDP의 30%를 벌금으로 내는 UN법안을 만들어야 하는덷 | 중국이 좋아할 기사네요<br>아무리 우리끼리 규제해 봤자 중국은 뒤에서 할거 다함 | 유럽은 또 미국에 뒤쳐지겠네 ㅋㅋ"
잇따르는 경고‥&#39;AI 규제&#39; 외치는 AI기업 (2023.05.29/뉴스데스크/MBC),인공지능 기술이 빠른 속도로 일상 깊이 들어오고 있는 만큼 그 위험에 대한 경고음도 커지고 있습니다. AI 기술로 돈을 버는 기업들이 ...,제발 그만 개발했으면 | MBC 체널Tv 통합 구독지원 추천 🌐 🔵 🎀  구글사랑 네이버기록 보전홍보 | 왜 우리 인류는 스스로 파멸의길로 가려하는가….. | 인공지능은 사람을 뛰어넘을수없다.<br>자신을 깨우친사람에게는<br>인공지능은 마음이없다 철저한<br>팩트만 공략할뿐<br>올바른 인공지능은 마음을 넣어주어라<br>착한마음만 올바른마음만 입력시키고<br>그한해서 올바른일에만 생각할수있게<br>개발하면 세상은 한번더 발전하겠지<br>올바른일로 😊인공지능에 지식말고<br>마음을 넣는법을 올바른마음을넣는법<br>올바른일에만 지식을 찾을수있게<br>규제하고 올바른 마음을 못넣은<br>Ai는 폐기하고 상용화 안하면되는것<br>Ai규제는 마음이없는것이 문제<br>그렇다면 올바른마음을 입력 시키는게일. 올바르지않는ai는<br>딱 사무용으로만 쓸정도만개발후<br>진정한지구를위한ai는 올바른마음이<br>입력된ai😊그럼 앞으로의 미래는<br>엄청난미래가될수도 | 그냥 금지시켜
"📢유럽연합(EU), 세계 최초로 AI 기술 규제 법안에 합의!","유럽연합(EU), 세계 최초로 AI 기술 규제 법안에 합의! #미국 #증시 #주식 #이유TV #다우존스 #나스닥 #에스앤피500 #EU #AI #기술 ...",
[자막뉴스] &#39;소름 쫙&#39; AI에 대해 질문했더니...로봇의 섬뜩한 답변 / YTN,"큰 눈을 깜박이고 푸른 눈동자를 좌우로 굴리고, 고개를 가볍게 좌우로 돌리며 무엇인가를 관찰하는 듯한 표정. 영락없는 사람의 모습 ...","결국 인간시대의 끝이 도래했구나ㅋㅋㅋ | 무섭다!<a href=""UCkszU2WH9gy1mb0dV-11UJg/hcMfY5_zAbbxvwKLooCoCA""></a> | YTN이라 그런가? 왜케 옛날 뉴스같냐 | 진짜 인간이 지배당하면 끝이라봐야지 | AI가 사람처럼 감정을 표현하는 표정을 짓는 게 신기합니다… 게다가 중간에 나오는 인공지능의 개발에 대하여 질문했을 때 눈을 찌푸리면서 AI의 위험성에 대하여 얘기하는 게 참 무서웠습니다. 저도 늘 경각심을 가지면서 AI 개발에 임해야겠습니다."
,,
